time,crime
1/1/2019,AUTO THEFT-PERM RETNT/ATTEMPT
1/1/2019,"LARCENY-SHOPLIFT $500 - $24,999"
1/1/2019,SIMPLE ASSAULT-HARRASSMENT
1/1/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/1/2019,LARCENY-SHOPLIFT UNDER $500
1/1/2019,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
1/1/2019,LARCENY-ALL OTH/FRM PRSN/UNDER $500
1/1/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/1/2019,SIMPLE ASSAULT-ADULT/NO INJURY
1/1/2019,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
1/1/2019,LEAVING SCENE OF ACCIDENT
1/1/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/1/2019,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE
1/1/2019,LARCENY-FROM MTR VEH UNDER $500
1/1/2019,SIMPLE ASSAULT-ADULT/NO INJURY
1/1/2019,LARCENY-FROM MTR VEH UNDER $500
1/1/2019,LEAVING SCENE OF ACCIDENT
1/1/2019,SIMPLE ASSAULT-ADULT/NO INJURY
1/1/2019,SIMPLE ASSAULT-ADULT/NO INJURY
1/1/2019,OBSTRUCT GOVRN OP-FALSE REPORT
1/1/2019,LARCENY-BICYCLES UNDER $500
1/1/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/1/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/1/2019,DRUGS-POSSESSION/OTHR UNSPEC DRUG
1/1/2019,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED
1/1/2019,DRUGS-POSSESSION/MARIJUANA
1/1/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/1/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/1/2019,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS
1/1/2019,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED
1/1/2019,RAPE -- FORCIBLE
1/1/2019,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
1/1/2019,LARCENY-MTR VEH PARTS UNDER $500
1/1/2019,"LARCENY-ALL OTHER $500 - $24,999"
1/1/2019,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC"
1/1/2019,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
1/1/2019,LEAVING SCENE OF ACCIDENT
1/1/2019,DRUGS-POSSESSION/MARIJUANA
1/1/2019,LARCENY-MTR VEH PARTS UNDER $500
1/1/2019,DRUGS-POSSESSION/HEROIN
1/1/2019,LEAVING SCENE OF ACCIDENT
1/1/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/1/2019,AUTO THEFT-PERM RETNT/JOY RIDE
1/1/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/1/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/1/2019,LEAVING SCENE OF ACCIDENT
1/1/2019,LEAVING SCENE OF ACCIDENT
1/1/2019,LARCENY-MTR VEH PARTS UNDER $500
1/1/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/1/2019,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT
1/1/2019,AUTO THEFT-PERM RETNT/JOY RIDE
1/1/2019,LEAVING SCENE OF ACCIDENT
1/1/2019,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET"
1/1/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/1/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/1/2019,LARCENY-FROM MTR VEH UNDER $500
1/2/2018,LARCENY-FROM BUILDING UNDER $500
1/2/2018,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT
1/2/2019,LEAVING SCENE OF ACCIDENT
1/2/2019,BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED
1/2/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/2/2019,LEAVING SCENE OF ACCIDENT
1/2/2019,LEAVING SCENE OF ACCIDENT
1/2/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/2/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/2/2019,LARCENY-ALL OTHER UNDER $500
1/2/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/2/2019,ROBBERY-HIGHWAY     /FIREARM USED/ATTEMPT
1/2/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/2/2019,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT
1/2/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/2/2019,LEAVING SCENE OF ACCIDENT
1/2/2019,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
1/2/2019,LARCENY-ALL OTHER UNDER $500
1/2/2019,LARCENY-PURSESNATCH UNDER $500
1/2/2019,LARCENY-MTR VEH PARTS UNDER $500
1/2/2019,LARCENY-ALL OTHER UNDER $500
1/2/2019,PUBLIC ORDER-TRESPASSING
1/2/2019,"LARCENY-ALL OTHER $500 - $24,999"
1/2/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/2/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/2/2019,LOITERING-BEGGING
1/2/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/2/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/2/2019,PUBLIC ORDER-TRESPASSING
1/2/2019,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION
1/2/2019,LARCENY-SHOPLIFT UNDER $500
1/2/2019,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING
1/2/2019,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC"
1/2/2019,DUI-DRVING WHILE INTOXICATED
1/2/2019,LARCENY-MTR VEH PARTS UNDER $500
1/2/2019,LARCENY-FROM MTR VEH UNDER $500
1/2/2019,"LARCENY-ALL OTHER $500 - $24,999"
1/2/2019,LEAVING SCENE OF ACCIDENT
1/2/2019,LARCENY-ALL OTHER UNDER $500
1/2/2019,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC"
1/2/2019,LARCENY-MTR VEH PARTS UNDER $500
1/2/2019,DRUGS-SALE/OTHR UNSPEC DRUG
1/2/2019,LARCENY-SHOPLIFT UNDER $500
1/2/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/2/2019,LARCENY-MTR VEH PARTS UNDER $500
1/2/2019,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED
1/2/2019,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION
1/2/2019,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED
1/2/2019,LARCENY-FROM BUILDING UNDER $500
1/2/2019,LOITERING-BEGGING
1/2/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/2/2019,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE
1/2/2019,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE
1/2/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/2/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/2/2019,LOITERING-BEGGING
1/2/2019,DRUGS-POSSESSION/MARIJUANA
1/2/2019,LARCENY-FROM BUILDING UNDER $500
1/2/2019,LEAVING SCENE OF ACCIDENT
1/2/2019,LEAVING SCENE OF ACCIDENT
1/2/2019,LARCENY-MTR VEH PARTS UNDER $500
1/2/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/2/2019,LARCENY-ALL OTHER UNDER $500
1/2/2019,"LARCENY-MTR VEH PARTS $500 - $24,999"
1/2/2019,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED
1/2/2019,LEAVING SCENE OF ACCIDENT
1/2/2019,AUTO THEFT-MTRCYCLE/PERM RETNT/UNRECOV OVER 48
1/2/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/2/2019,ASSLT-AGGRV-HND/FST/FT-2ND-ADUL-DOMESTIC
1/2/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE
1/2/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/2/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/2/2019,LEAVING SCENE OF ACCIDENT
1/2/2019,LEAVING SCENE OF ACCIDENT
1/2/2019,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED
1/2/2019,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED
