time,crime
1/15/2019,LOITERING-BEGGING
1/15/2019,PUBLIC ORDER-TRESPASSING
1/15/2019,HOMICIDE
1/15/2019,ASSLT-AGGRAV-FIREARM-2ND-ADULT-DOMESTIC
1/15/2019,SEX OFFNS-EXPOSURE/EXPOSING PERSON
1/15/2019,LEAVING SCENE OF ACCIDENT
1/15/2019,LARCENY-ALL OTHER UNDER $500
1/15/2019,DRUGS-POSSESSION/HEROIN
1/15/2019,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING
1/15/2019,LEAVING SCENE OF ACCIDENT
1/15/2019,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC"
1/15/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/15/2019,LEAVING SCENE OF ACCIDENT
1/15/2019,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED
1/15/2019,AGG.ASSAULT-FIREARM/POLC.OFFICER  1ST DEGREE
1/15/2019,HOMICIDE
1/15/2019,AGG.ASSAULT-FIREARM/POLC.OFFICER  1ST DEGREE
1/15/2019,AGG.ASSAULT-FIREARM/POLC.OFFICER  1ST DEGREE
1/15/2019,AGG.ASSAULT-FIREARM/POLC.OFFICER  1ST DEGREE
1/15/2019,HOMICIDE
1/15/2019,LARCENY-MTR VEH PARTS UNDER $500
1/15/2019,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
1/15/2019,BURGLARY-RESIDENCE/DAY/ATT FORCE ENTRY
1/15/2019,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
1/15/2019,LEAVING SCENE OF ACCIDENT
1/15/2019,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET"
1/15/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/15/2019,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT
1/15/2019,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED
1/15/2019,LARCENY-SHOPLIFT UNDER $500
1/15/2019,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR
1/15/2019,ASSLT-AGGRV-KNIFE/CUT-2ND-ADULT-DOMESTIC
1/15/2019,LEAVING SCENE OF ACCIDENT
1/15/2019,"LARCENY-FROM BUILDING $500 - $24,999"
1/15/2019,LEAVING SCENE OF ACCIDENT
1/15/2019,LEAVING SCENE OF ACCIDENT
1/15/2019,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
1/15/2019,LARCENY-FROM MTR VEH UNDER $500
1/15/2019,LARCENY-FROM BUILDING UNDER $500
1/15/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/15/2019,"LARCENY-FROM MTR VEH $500 - $24,999"
1/15/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/15/2019,LARCENY-FROM MTR VEH UNDER $500
1/15/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/15/2019,LEAVING SCENE OF ACCIDENT
1/15/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/15/2019,BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED
1/15/2019,AGG.ASSAULT-OTH DANG WEP/POL OFFC 2ND DEGREE
1/15/2019,AGG.ASSAULT-OTH DANG WEP/POL OFFC 2ND DEGREE
1/15/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/15/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/15/2019,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION
1/15/2019,BURGLARY-RESDNCE/UNK TIM/ATT FORCE ENTRY
1/15/2019,LEAVING SCENE OF ACCIDENT
1/15/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/15/2019,LARCENY-MTR VEH PARTS UNDER $500
1/15/2019,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
1/15/2019,LEAVING SCENE OF ACCIDENT
1/15/2019,AUTO THEFT-PERM RETNT/JOY RIDE
1/15/2019,ARSON-KNOWINGLY BURNING/SUCCESS
1/15/2019,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC"
1/15/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/15/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/15/2019,PUBLIC ORDER-TRESPASSING
1/15/2019,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING
1/16/2019,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE
1/16/2019,PUBLIC ORDER-TRESPASSING
1/16/2019,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION
1/16/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/16/2019,"LARCENY-ALL OTHER $500 - $24,999"
1/16/2019,"LARCENY-ALL OTHER $500 - $24,999"
1/16/2019,FRAUD-STEALING BY DECEIT/UNDER $150
1/16/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/16/2019,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED
1/16/2019,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC"
1/16/2019,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
1/16/2019,LEAVING SCENE OF ACCIDENT
1/16/2019,PUBLIC ORDER-TRESPASSING
1/16/2019,PUBLIC ORDER-TRESPASSING
1/16/2019,LARCENY-FROM MTR VEH UNDER $500
1/16/2019,LARCENY-FROM MTR VEH UNDER $500
1/16/2019,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
1/16/2019,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED
1/16/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/16/2019,ROBBERY-HIGHWAY    /KNIFE USED/SUCCESSFUL
1/16/2019,DRUGS-POSSESSION/MARIJUANA
1/16/2019,"LARCENY-ALL OTHER $500 - $24,999"
1/16/2019,LEAVING SCENE OF ACCIDENT
1/16/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/16/2019,"LARCENY-ALL OTHER $500 - $24,999"
1/16/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/16/2019,LEAVING SCENE OF ACCIDENT
1/16/2019,LARCENY-SHOPLIFT UNDER $500
1/16/2019,LEAVING SCENE OF ACCIDENT
1/16/2019,HEALTH-SANITATION VIOL
1/16/2019,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL
1/16/2019,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET"
1/16/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/16/2019,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC"
1/16/2019,DRUGS-POSSESSION/METHAMPHETAMINE
1/16/2019,LOITERING-BEGGING
1/16/2019,LOITERING-BEGGING
1/16/2019,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
1/16/2019,LEAVING SCENE OF ACCIDENT
1/16/2019,DRUGS-POSSESSION/HEROIN
1/16/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/16/2019,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS
1/16/2019,LEAVING SCENE OF ACCIDENT
1/16/2019,PUBLIC ORDER-TRESPASSING
1/16/2019,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL
1/16/2019,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET"
1/16/2019,LARCENY-ALL OTHER UNDER $500
1/16/2019,LEAVING SCENE OF ACCIDENT
1/16/2019,LARCENY-MTR VEH PARTS UNDER $500
1/16/2019,LARCENY-SHOPLIFT UNDER $500
1/16/2019,RAPE -- FORCIBLE
1/16/2019,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE
1/16/2019,LARCENY-ALL OTHER UNDER $500
1/16/2019,ASSLT-AGGRAV-OTH-WPN-2ND-ADULT-DOMESTIC
1/16/2019,PUBLIC ORDER-TRESPASSING
1/16/2019,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED
1/16/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/16/2019,LEAVING SCENE OF ACCIDENT
1/16/2019,OBSTRUCT GOVRN OP-OTHR UNSPEC OBSTR JUST
1/16/2019,FRAUD/STEALING BY DECEIT-O/$150
1/16/2019,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED
1/16/2019,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED
1/16/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/16/2019,LARCENY-FROM BUILDING UNDER $500
1/16/2019,"LARCENY-SHOPLIFT $500 - $24,999"
1/16/2019,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL
1/16/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/16/2019,LARCENY-FROM BUILDING UNDER $500
1/16/2019,BURGLARY-RESIDENCE/DAY/UNLAW ENT/OCCUPIED
1/16/2019,LEAVING SCENE OF ACCIDENT
1/16/2019,LEAVING SCENE OF ACCIDENT
1/16/2019,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL
1/16/2019,LARCENY-FROM BUILDING UNDER $500
1/16/2019,ROBBERY-HIGHWAY    /KNIFE USED/SUCCESSFUL
1/16/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/16/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/16/2019,LEAVING SCENE OF ACCIDENT
1/16/2019,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE
1/16/2019,LARCENY-FROM MTR VEH UNDER $500
1/16/2019,LARCENY-MTR VEH PARTS UNDER $500
1/16/2019,AUTO THEFT-TRUCK/PERM RETNT/JOY RIDE
1/16/2019,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
1/16/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/16/2019,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED
1/16/2019,LARCENY-MTR VEH PARTS UNDER $500
1/16/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/16/2019,RAPE -- FORCIBLE
1/16/2019,DUI-DRVING UNDR INFLUNC ALC/DRUGS
1/16/2019,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
1/16/2019,"LARCENY-SHOPLIFT $500 - $24,999"
1/16/2019,"LARCENY-FROM MTR VEH $500 - $24,999"
1/16/2019,SIMPLE ASSAULT-ADULT/NO INJURY
1/16/2019,LARCENY-SHOPLIFT UNDER $500
1/16/2019,LARCENY-MTR VEH PARTS UNDER $500 /ATTEMPT
1/16/2019,"LARCENY-FROM MTR VEH $500 - $24,999"
1/16/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/16/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/16/2019,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL
1/16/2019,LARCENY-MTR VEH PARTS UNDER $500
1/16/2019,"LARCENY-FROM MTR VEH $500 - $24,999"
1/16/2019,LARCENY-MTR VEH PARTS UNDER $500
1/16/2019,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC"
1/16/2019,LOITERING-BEGGING
1/16/2019,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION
1/16/2019,ROBBERY-RESIDENCE/FIREARM USED/SUCCESSFUL
1/16/2019,"LARCENY-FROM MTR VEH $500 - $24,999"
1/16/2019,BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED
1/16/2019,LARCENY-MTR VEH PARTS UNDER $500
1/16/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/16/2019,DRUGS-POSSESSION/HEROIN
1/16/2019,LARCENY-FROM MTR VEH UNDER $500
1/16/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/16/2019,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
1/16/2019,LARCENY-MTR VEH PARTS UNDER $500
1/16/2019,BURGLARY-BUSINESS/DAY/FORCE ENT/UNOCCUPIED
1/16/2019,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET"
1/16/2019,HOMICIDE
1/17/2019,"LARCENY-MTR VEH PARTS $500 - $24,999"
1/17/2019,"LARCENY-FROM MTR VEH $500 - $24,999"
1/17/2019,LARCENY-FROM MTR VEH UNDER $500
1/17/2019,BURGLARY-BUSINESS/NIT/FORCE ENT/UNOCCUPIE
1/17/2019,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL
1/17/2019,AUTO THEFT-PERM RETNT/JOY RIDE
1/17/2019,AUTO THEFT-PERM RETNT/JOY RIDE
1/17/2019,DRUGS-POSSESSION/OTHR UNSPEC DRUG
1/17/2019,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET"
1/17/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/17/2019,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL
1/17/2019,LEAVING SCENE OF ACCIDENT
1/17/2019,LEAVING SCENE OF ACCIDENT
1/17/2019,ROBBERY CARJACKING /STRNGARM/NO INJ/SUCCESSFUL
1/17/2019,"LARCENY-FROM BUILDING $500 - $24,999"
1/17/2019,LARCENY-MTR VEH PARTS UNDER $500
1/17/2019,LEAVING SCENE OF ACCIDENT
1/17/2019,LARCENY-MTR VEH PARTS UNDER $500
1/17/2019,SEX OFFNS-SX MISCONDUCT/FIRST
1/17/2019,FRAUD-STEALING BY DECEIT/OVER $150
1/17/2019,LARCENY-ALL OTHER UNDER $500
1/17/2019,LARCENY-FROM BUILDING UNDER $500
1/17/2019,LEAVING SCENE OF ACCIDENT
1/17/2019,HEALTH-SANITATION VIOL
1/17/2019,HEALTH-SANITATION VIOL
1/17/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/17/2019,LARCENY-ALL OTHER UNDER $500
1/17/2019,DRUGS-POSSESSION/OTHR UNSPEC DRUG
1/17/2019,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
1/17/2019,SIMPLE ASSAULT-ADULT/NO INJURY
1/17/2019,FRAUD-STEALING BY DECEIT/OVER $150
1/17/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/17/2019,LOITERING-BEGGING
1/17/2019,LARCENY-MTR VEH PARTS UNDER $500
1/17/2019,DRUGS-POSSESSION/HEROIN
1/17/2019,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED
1/17/2019,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS
1/17/2019,ROBBERY CARJACKING /STRNGARM/NO INJ/ATTEMPT
1/17/2019,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION
1/17/2019,STLG BY DECEIT/IDENTITY THEFT REPORT
1/17/2019,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL
1/17/2019,AUTO THEFT-OTHR VEH/PERM RETNT/UNRECOV OVER 48
1/17/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/17/2019,LARCENY-MTR VEH PARTS UNDER $500
1/17/2019,LARCENY-MTR VEH PARTS UNDER $500
1/17/2019,LEAVING SCENE OF ACCIDENT
1/17/2019,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC"
1/17/2019,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY
1/17/2019,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY
1/17/2019,LOITERING-BEGGING
1/17/2019,LARCENY-MTR VEH PARTS UNDER $500
1/17/2019,LARCENY-FROM MTR VEH UNDER $500
1/17/2019,LOITERING-BEGGING
1/17/2019,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE
1/17/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/17/2019,LEAVING SCENE OF ACCIDENT
1/17/2019,FAILURE TO RETURN BORROWED/RENTED VEHICL
1/17/2019,"LARCENY-ALL OTHER $500 - $24,999"
1/17/2019,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING
1/17/2019,"LARCENY-FROM BUILDING $500 - $24,999"
1/17/2019,LARCENY-FROM BUILDING UNDER $500
1/17/2019,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY
1/17/2019,LARCENY-MTR VEH PARTS UNDER $500
1/17/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/17/2019,LOITERING-BEGGING
1/17/2019,LARCENY-FROM MTR VEH UNDER $500
1/17/2019,PUBLIC ORDER-TRESPASSING
1/17/2019,ASSLT-AGGRAV-OTH-WPN-1ST-CHILD-DOMESTIC
1/17/2019,ASSLT-AGGRAV-OTH-WPN-1ST-CHILD-DOMESTIC
1/17/2019,ASSLT-AGGRV-HND/FST/FT-3RD-ADUL-DOMESTIC
1/17/2019,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION
1/17/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/17/2019,LARCENY-ALL OTHER UNDER $500
1/17/2019,HOMICIDE
1/17/2019,LARCENY-FROM BUILDING UNDER $500
1/17/2019,LARCENY-FROM MTR VEH UNDER $500
1/17/2019,LARCENY-FROM BUILDING UNDER $500
1/17/2019,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION
1/17/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/17/2019,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION
1/17/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/17/2019,LARCENY-FROM BUILDING UNDER $500
1/17/2019,"LARCENY-FROM BUILDING $500 - $24,999"
1/17/2019,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL
1/17/2019,SIMPLE ASSAULT-ADULT/NO INJURY
1/17/2019,SIMPLE ASSAULT-CHILD/NO INJURY
1/17/2019,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL
1/17/2019,LARCENY-FROM MTR VEH UNDER $500
1/17/2019,LARCENY-FROM MTR VEH UNDER $500
1/17/2019,LARCENY-FROM MTR VEH UNDER $500
1/17/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/17/2019,LARCENY-FROM MTR VEH UNDER $500
1/17/2019,PUBLIC ORDER-TRESPASSING
1/17/2019,LEAVING SCENE OF ACCIDENT
1/17/2019,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION
1/17/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/17/2019,LEAVING SCENE OF ACCIDENT
1/17/2019,LARCENY-ALL OTHER UNDER $500
1/17/2019,LARCENY-FROM MTR VEH UNDER $500
1/17/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/17/2019,ROBBERY-RESIDENCE/STRNGARM/NO INJ/SUCCESS
1/17/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/17/2019,PUBLIC ORDER-TRESPASSING
1/17/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/17/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/17/2019,DRUGS-POSSESSION/HEROIN
1/17/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE
1/17/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/17/2019,"LARCENY-FROM BUILDING $500 - $24,999"
1/17/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/17/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/17/2019,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC"
1/17/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/17/2019,SIMPLE ASSAULT-HARRASSMENT
1/17/2019,"LARCENY-FROM MTR VEH $500 - $24,999"
1/18/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/18/2019,AGG.ASSAULT-KNIFE/CITIZEN ADULT 1ST DEGREE
1/18/2019,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL
1/18/2019,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL
1/18/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/18/2019,"LARCENY-FROM BUILDING $500 - $24,999"
1/18/2019,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED
1/18/2019,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION
1/18/2019,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC"
1/18/2019,LEAVING SCENE OF ACCIDENT
1/18/2019,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET"
1/18/2019,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL
1/18/2019,ROBBERY-RESIDENCE/STRNGARM/NO INJ/ATTEMPT
1/18/2019,"LARCENY-FROM BUILDING $500 - $24,999"
1/18/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/18/2019,"LARCENY-FROM BUILDING $500 - $24,999"
1/18/2019,LARCENY-MTR VEH PARTS UNDER $500
1/18/2019,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE
1/18/2019,LARCENY-FROM BUILDING UNDER $500
1/18/2019,AUTO THEFT-PERM RETNT/JOY RIDE
1/18/2019,PUBLIC ORDER-TRESPASSING
1/18/2019,AUTO THEFT-PERM RETNT/JOY RIDE
1/18/2019,PUBLIC ORDER-TRESPASSING
1/18/2019,LARCENY-MTR VEH PARTS UNDER $500
1/18/2019,HEALTH-SANITATION VIOL
1/18/2019,LEAVING SCENE OF ACCIDENT
1/18/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/18/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/18/2019,LEAVING SCENE OF ACCIDENT
1/18/2019,FAILURE TO RETURN BORROWED/RENTED VEHICL
1/18/2019,LARCENY-FROM MTR VEH UNDER $500
1/18/2019,SIMPLE ASSAULT-ADULT/NO INJURY
1/18/2019,LARCENY-SHOPLIFT UNDER $500
1/18/2019,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC"
1/18/2019,SIMPLE ASSAULT-ADULT/NO INJURY
1/18/2019,LEAVING SCENE OF ACCIDENT
1/18/2019,LARCENY-ALL OTHER UNDER $500
1/18/2019,LARCENY-FROM MTR VEH UNDER $500
1/18/2019,LARCENY-MTR VEH PARTS UNDER $500
1/18/2019,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED
1/18/2019,LEAVING SCENE OF ACCIDENT
1/18/2019,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT
1/18/2019,LEAVING SCENE OF ACCIDENT
1/18/2019,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
1/18/2019,DRUGS-POSSESSION/MARIJUANA
1/18/2019,SIMPLE ASSAULT-ADULT/NO INJURY
1/18/2019,LARCENY-FROM BUILDING UNDER $500
1/18/2019,LEAVING SCENE OF ACCIDENT
1/18/2019,DRUGS-POSSESSION/HEROIN
1/18/2019,FRAUD-CREDIT DEVICE/OVER $150
1/18/2019,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED
1/18/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/18/2019,LARCENY-ALL OTHER UNDER $500
1/18/2019,LEAVING SCENE OF ACCIDENT
1/18/2019,"LARC-ALL OTH/FRM PRSN/$500 - $24,999"
1/18/2019,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET"
1/18/2019,LARCENY-FROM BUILDING UNDER $500
1/18/2019,LARCENY-MTR VEH PARTS UNDER $500
1/18/2019,DRUGS-POSSESSION/MARIJUANA
1/18/2019,ASSLT-AGGRV-KNIFE/CUT-1ST-ADULT-DOMESTIC
1/18/2019,ARSON-KNOWINGLY BURNING/SUCCESS
1/18/2019,LEAVING SCENE OF ACCIDENT
1/18/2019,LOITERING-BEGGING
1/18/2019,LARCENY-SHOPLIFT UNDER $500
1/18/2019,LARCENY-FROM BUILDING UNDER $500
1/18/2019,"LARCENY-FROM BUILDING $500 - $24,999"
1/18/2019,LARCENY-SHOPLIFT UNDER $500
1/18/2019,LARCENY-FROM MTR VEH UNDER $500
1/18/2019,LARCENY-FROM MTR VEH UNDER $500
1/18/2019,LARCENY-FROM BUILDING UNDER $500
1/18/2019,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED
1/18/2019,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC"
1/18/2019,LARCENY-FROM MTR VEH UNDER $500
1/18/2019,LOITERING-BEGGING
1/18/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/18/2019,LEAVING SCENE OF ACCIDENT
1/18/2019,"LARCENY-FROM BUILDING $500 - $24,999"
1/18/2019,LARCENY-SHOPLIFT UNDER $500
1/18/2019,LEAVING SCENE OF ACCIDENT
1/18/2019,DRUGS-POSSESSION/MARIJUANA
1/18/2019,LEAVING SCENE OF ACCIDENT
1/18/2019,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR
1/18/2019,DRUGS-POSSESSION/OTHR UNSPEC DRUG
1/18/2019,ROBBERY-CONVEN STOR/FIREARM USED/SUCCESS
1/18/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/18/2019,SIMPLE ASSAULT-HARRASSMENT
1/18/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/18/2019,LEAVING SCENE OF ACCIDENT
1/18/2019,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL
1/18/2019,LARCENY-MTR VEH PARTS UNDER $500
1/18/2019,LEAVING SCENE OF ACCIDENT
1/18/2019,"LARCENY-FROM MTR VEH $500 - $24,999"
1/18/2019,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION
1/18/2019,LEAVING SCENE OF ACCIDENT
1/18/2019,DUI-DRVING WHILE INTOXICATED
1/18/2019,LARCENY-MTR VEH PARTS UNDER $500
1/18/2019,SIMPLE ASSAULT-ADULT/NO INJURY
1/18/2019,"LARCENY-FROM MTR VEH $500 - $24,999"
1/18/2019,"LARCENY-FROM MTR VEH $500 - $24,999"
1/18/2019,DRUGS-POSSESSION/MARIJUANA
1/18/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/18/2019,"LARCENY-FROM MTR VEH $500 - $24,999"
1/18/2019,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL
1/19/2019,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED
1/19/2019,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE
1/19/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/19/2019,LARCENY-MTR VEH PARTS UNDER $500
1/19/2019,LEAVING SCENE OF ACCIDENT
1/19/2019,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP
1/19/2019,LARCENY-FROM BUILDING UNDER $500
1/19/2019,LARCENY-FROM BUILDING UNDER $500
1/19/2019,LEAVING SCENE OF ACCIDENT
1/19/2019,BURGLARY-RESIDENCE/NIT/FORCE ENT/OCCUPIED
1/19/2019,LEAVING SCENE OF ACCIDENT
1/19/2019,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY
1/19/2019,SIMPLE ASSAULT-ADULT/NO INJURY
